"(w1,w2)",pmi,"p(w1,w2)",p(w1),p(w2)
"('KUALA', 'LUMPUR')",13.320891125575708,9.171412797117452e-05,1.2354038682174304e-05,1.2174125497482444e-05
"('SAUDI', 'ARABIA')",13.073457240098236,9.580040099959319e-05,1.553250494506381e-05,1.2953749297813833e-05
"('AD', 'HOC')",12.67989596413661,0.00012576640320799675,2.35686271946335e-05,1.6611984053214963e-05
"('BURKINA', 'FASO')",12.679756456597994,0.00017389361887603882,2.314882976368583e-05,2.3388714009941643e-05
"('MAD', 'COW')",12.58397340001845,0.000147105829023072,2.045013199330795e-05,2.4648106302784655e-05
"('NAUTICAL', 'MILES')",12.47608069579677,0.0001534622537339455,2.086992942425562e-05,2.806645681192997e-05
"('POUND', 'STERLING')",12.350940540230035,0.0002220208345440809,3.196457581358691e-05,3.004550184354042e-05
"('RESPIRATORY', 'SYNDROME')",12.308896625055613,0.00012712849421746964,2.4648106302784655e-05,2.326877188681374e-05
"('R', 'D')",12.291575320856413,0.00021021604579531586,3.076515458230785e-05,3.1364865197947384e-05
"('U.', 'S.')",12.287682531743949,0.00010987534143081304,1.6851868299470775e-05,3.004550184354042e-05
"('HON', 'HAI')",12.282598329179327,0.00021384828848724355,2.902599379695322e-05,3.412353402988922e-05
"('FALUN', 'GONG')",12.18633628492344,0.00022474501656302668,3.1484807321075285e-05,3.640243436931943e-05
"('ACUTE', 'RESPIRATORY')",12.184081284587236,0.0001298526762364154,2.6927006642214866e-05,2.4648106302784655e-05
"('DALAI', 'LAMA')",12.025577228179042,0.00033144214563840296,4.3898817064813545e-05,4.521818041922051e-05
"('SWEDEN', 'KRONE')",11.997510154192852,0.0002220208345440809,4.653754377362748e-05,2.9385820166336936e-05
"('COSTA', 'RICA')",11.949570721545133,0.0002687859592026501,4.7557051820214676e-05,3.652237649244733e-05
"('LOS', 'ANGELES')",11.878493414108497,0.00036367829952926135,5.181499719125533e-05,4.869650198992978e-05
"('TORCH', 'RELAY')",11.85635825181976,0.00013076073690939733,2.9685675474156702e-05,3.1244923074819477e-05
"('CLOUD', 'GATE')",11.851755355920712,0.00016345092113674667,3.742194241590663e-05,3.112498095169157e-05
"('MUTUALLY', 'BENEFICIAL')",11.84668216519879,0.00010351891671993956,2.1169784732075385e-05,3.502309995334851e-05
"('EL', 'SALVADOR')",11.814099495485022,0.00034869529842505956,5.0915431267796034e-05,5.0675547021540226e-05
"('DE', 'FACTO')",11.813702532764403,0.00016980734584762016,5.589302937760413e-05,2.2489148086482348e-05
"('EQUAL', 'FOOTING')",11.78259413898851,9.353024931713838e-05,4.821673349741816e-05,1.4812852206296374e-05
"('SWISS', 'FRANC')",11.775578795571562,0.00022247486488057185,5.7632190162958764e-05,2.9685675474156702e-05
"('GEORGE', 'W.')",11.774830153599686,0.00019841125704655083,4.3898817064813545e-05,3.47832157070927e-05
"('DEGREES', 'CELSIUS')",11.704179244804521,0.00016617510315569244,5.541326088509251e-05,2.476804842591256e-05
"('TIEN', 'HUNG-MAO')",11.703858429521928,9.353024931713838e-05,6.0210945810208745e-05,1.2833807174685927e-05
"('MOON', 'LAKE')",11.662297160325831,0.00013348491892834313,3.052527033605204e-05,3.766182666216244e-05
"('DENGUE', 'FEVER')",11.631388915201468,0.0001666291334921834,2.656718027283115e-05,5.571311619291227e-05
"('TORRENTIAL', 'RAINS')",11.582420271712795,0.0001017027953739757,2.9625704412592748e-05,3.202454687515087e-05
