"(w1,w2)",pmi,"p(w1,w2)",p(w1),p(w2)
"('BONA', 'FIDE')",15.562663122647557,9.534637066310223e-06,1.2593922928430116e-06,1.3193633544069645e-06
"('IRIAN', 'JAYA')",15.475651745657926,9.534637066310223e-06,1.2593922928430116e-06,1.4393054775348704e-06
"('JENN', 'LANN')",15.434829751137672,9.534637066310223e-06,1.4992765390988232e-06,1.2593922928430116e-06
"('DISTAL', 'ILEUM')",15.395609037984391,1.1804788748765038e-05,1.559247600662776e-06,1.559247600662776e-06
"('EVERTRUST', 'REHOUSE')",15.20944870488327,1.1350758412274075e-05,1.6192186622267292e-06,1.739160785354635e-06
"('BUENOS', 'AIRES')",15.187969673206146,1.4074940431219853e-05,1.8591029084825408e-06,1.919073970046494e-06
"('JOHNS', 'HOPKINS')",15.18335072734985,1.2258819085256001e-05,1.679189723790682e-06,1.8591029084825408e-06
"('KRAFT', 'NABISCO')",15.157198014539393,1.4074940431219853e-05,1.9790450316104465e-06,1.8591029084825408e-06
"('YUEN', 'FOONG')",15.070186637549762,1.1350758412274075e-05,1.799131846918588e-06,1.799131846918588e-06
"('KAI-', 'SHEK')",15.060653676891038,1.3166879758237926e-05,1.8591029084825408e-06,2.0390160931743995e-06
"('PHNOM', 'PENH')",15.035837157535125,1.4074940431219853e-05,1.9790450316104465e-06,2.0989871547383526e-06
"('ARLEIGH', 'BURKE-CLASS')",15.016119416279487,1.4074940431219853e-05,2.2789003394302114e-06,1.8591029084825408e-06
"('LIANHE', 'ZAOBAO')",15.006420019190774,1.2258819085256001e-05,2.2189292778662583e-06,1.679189723790682e-06
"('ABN', 'AMRO')",14.990143929876226,1.4983001104201778e-05,2.3388714009941645e-06,1.9790450316104465e-06
"('CHEK', 'LAP')",14.964826121891935,1.4074940431219853e-05,1.8591029084825408e-06,2.398842462558117e-06
"('GENGHIS', 'KHAN')",14.964826121891935,1.0896728075783111e-05,1.4393054775348704e-06,2.398842462558117e-06
"('REBIYA', 'KADEER')",14.916035957722503,1.1350758412274075e-05,1.4992765390988232e-06,2.5187845856860232e-06
"('LAP', 'KOK')",14.87245280176092,1.4074940431219853e-05,2.398842462558117e-06,2.0390160931743995e-06
"('SUU', 'KYI')",14.869515942087611,1.9977334805602373e-05,2.638726708813929e-06,2.638726708813929e-06
"('TRENT', 'LOTT')",14.856751900362513,1.0442697739292148e-05,1.4992765390988232e-06,2.45881352412207e-06
"('CLEMENT', 'C.P')",14.806602116677041,9.534637066310223e-06,2.45881352412207e-06,1.4393054775348704e-06
"('PUERTO', 'RICO')",14.8027072724155,1.1350758412274075e-05,2.5187845856860232e-06,1.679189723790682e-06
"('MEGAWATI', 'SUKARNOPUTRI')",14.78250456509798,9.988667402801186e-06,2.8786109550697408e-06,1.3193633544069645e-06
"('SHINZO', 'ABE')",14.78250456509798,9.988667402801186e-06,1.3193633544069645e-06,2.8786109550697408e-06
"('DER', 'SPIEGEL')",14.764337261142533,1.1350758412274075e-05,2.8186398935057877e-06,1.559247600662776e-06
"('BORIS', 'YELTSIN')",14.7432838519447,1.1350758412274075e-05,2.3388714009941645e-06,1.919073970046494e-06
"('MOSEL', 'VITELIC')",14.741682570577726,2.270151682454815e-05,2.9985530781976465e-06,2.9985530781976465e-06
"('ULAN', 'BATOR')",14.721879943281547,2.270151682454815e-05,3.0585241397615995e-06,2.9985530781976465e-06
"('NIHON', 'KEIZAI')",14.712437002481265,1.4074940431219853e-05,2.5187845856860232e-06,2.2789003394302114e-06
"('DICK', 'CHENEY')",14.690697015844858,1.1804788748765038e-05,2.1589582163023057e-06,2.2789003394302114e-06
