"(w1,w2)",pmi,"p(w1,w2)",p(w1),p(w2)
"('MERRILL', 'LYNCH')",14.309900154152189,3.132809321787645e-05,4.138003247912752e-06,4.617771740424376e-06
"('ABU', 'DHABI')",14.29699674931628,3.31442145638403e-05,4.677742801988329e-06,4.377887494168564e-06
"('LAS', 'VEGAS')",14.233741101991598,3.4052275236822224e-05,4.91762704824414e-06,4.557800678860423e-06
"('KOFI', 'ANNAN')",14.029171840664988,3.042003254489452e-05,4.138003247912752e-06,5.93713509483134e-06
"('SPONGIFORM', 'ENCEPHALOPATHY')",13.980787737939261,4.767318533155111e-05,6.3569325257790105e-06,6.3569325257790105e-06
"('MODUS', 'VIVENDI')",13.969309342250801,4.4494972976114375e-05,6.117048279523199e-06,6.236990402651104e-06
"('SHUI-', 'BIAN')",13.960274793627718,3.9954669611204745e-05,5.337424479191811e-06,6.476874648906917e-06
"('ARAB', 'EMIRATES')",13.773748605551733,3.632242691927704e-05,7.0166142029824925e-06,5.397395540755764e-06
"('YING-', 'JEOU')",13.753401810289462,5.493767071540652e-05,7.556353757058069e-06,7.736266941749928e-06
"('BOVINE', 'SPONGIFORM')",13.74219354753707,4.676512465856919e-05,7.916180126441786e-06,6.3569325257790105e-06
"('ALMA', 'MATER')",13.72335111317042,5.085139768698785e-05,8.156064372697598e-06,6.836701018290634e-06
"('CHIMEI', 'INNOLUX')",13.685932399544816,4.177079095716859e-05,7.0166142029824925e-06,6.776729956726681e-06
"('VISUALLY', 'IMPAIRED')",13.677590946504733,3.5414366246295115e-05,5.337424479191811e-06,7.616324818622022e-06
"('SRI', 'LANKA')",13.648121184206534,5.947797408031615e-05,8.815746049901081e-06,7.97615118800574e-06
"('PAULINE', 'HANSON')",13.516499679187731,3.223615389085837e-05,4.737713863552281e-06,9.175572419284798e-06
"('DOW', 'JONES')",13.515632687633941,2.8149880862439706e-05,4.557800678860423e-06,8.335977557389457e-06
"('GOH', 'CHOK')",13.449698888929076,3.223615389085837e-05,1.0914733204639434e-05,4.257945371040658e-06
"('DING', 'MOU-SHIH')",13.448982470987987,3.132809321787645e-05,1.0614877896819668e-05,4.257945371040658e-06
"('BLACK-FACED', 'SPOONBILLS')",13.435076370061536,4.267885163015052e-05,8.39594861895341e-06,7.436411633930163e-06
"('NAPHTHA', 'CRACKER')",13.422321347981777,4.404094263962341e-05,1.0075138342744093e-05,6.476874648906917e-06
"('LEONEL', 'FERNANDEZ')",13.414726345718956,3.042003254489452e-05,4.91762704824414e-06,9.235543480848752e-06
"('WREAKED', 'HAVOC')",13.413570164840571,4.177079095716859e-05,6.716758895162728e-06,9.295514542412704e-06
"('SPINAL', 'CORDS')",13.41195856094623,3.4506305573313185e-05,1.0255051527435951e-05,5.0375691713720464e-06
"('CHOK', 'TONG')",13.330695596867464,3.223615389085837e-05,4.257945371040658e-06,1.229406762061035e-05
"('KUALA', 'LUMPUR')",13.320891125575708,9.171412797117452e-05,1.2354038682174304e-05,1.2174125497482444e-05
"('SAO', 'TOME')",13.25035753542582,8.535770326030104e-05,1.2713865051558021e-05,1.1814299128098728e-05
"('AU', 'OPTRONICS')",13.190920562659645,7.3552914511536e-05,1.3013720359377785e-05,1.0554906835255716e-05
"('ERIC', 'LILUAN')",13.167148945086922,6.311021677224386e-05,1.4273112652220797e-05,8.455919680517363e-06
"('SANKEI', 'SHIMBUN')",13.144260218707887,3.223615389085837e-05,4.737713863552281e-06,1.331357566719755e-05
"('QIAN', 'QICHEN')",13.124081347504465,5.539170105189748e-05,1.4992765390988232e-05,7.37644057236621e-06
