"(w1,w2)",pmi,"p(w1,w2)",p(w1),p(w2)
"('HANNES', 'FARLEITER')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('FREIE', 'DEMOKRATISCHE')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('CEP006', '10-03-97')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('NICOSIA', 'GORGIE')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('GORGIE', 'MURADOV')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('CAUSUS', 'BELLI')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('HARDCOVER', 'GILT-EDGED')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('FAYEZ', 'ZAWARNEH')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('CEP002', '10-07-97')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('NN1', 'NN2')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('TULAGA', 'MANUELLA')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('LUCILLE', 'ROYBAL-ALLARD')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('HALLDOR', 'ASGRIMSSON')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('WAHYO', 'DJATMIKO')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('FLAVONOID', 'SPONIN')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('ZCCZ', 'CEP007')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('CEP007', '10-10-97')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('FRIEDRICH', 'NAUMANN')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('ANDRIS', 'AMERIKS')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('GERMANIC', 'MANHOOD')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('ZAIMAN', 'NURMATIAS')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('ESTRADE', 'OYUELA')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('TOFILAU', 'ETI')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('STEPAN', 'KERKYASHARIAN')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('ARY', 'MARDJONO')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('MESUT', 'YILMAZ')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('SIX-CYLINDER', '6.8-LITER')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('BACRE', 'WALY')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('AFTERTAX', 'WRITEDOWN')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
"('HISAO', 'KANAMORI')",18.653705576005873,4.54030336490963e-07,5.997106156395293e-08,5.997106156395293e-08
